Borough,ParkorPlayground,Date,SportsPlayed,KIMorSSE,Attendance,Cancellation
Brooklyn,Hamilton Metz Field,05/14/2024 10:00:00 AM,,K.I.M,71,
Manhattan,Carmansville Playground,10/13/2023 06:00:00 PM,,K.I.M,0,Called Out
Queens,Bowne Playground,07/06/2024 06:00:00 PM,,K.I.M,119,
Queens,Phil Scooter Rizzuto Park,07/13/2023 06:00:00 PM,,K.I.M,109,
Queens,Grover Cleveland Playground,05/24/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Brooklyn,Hamilton Metz Field,09/06/2024 10:00:00 AM,,K.I.M,12,
Staten Island,Austin J. McDonald Playground,06/29/2022 10:00:00 AM,,K.I.M,75,
Queens,Hoover - Manton Playgrounds,06/22/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,Little Flower Playground,06/28/2022 06:00:00 PM,,K.I.M,246,
Bronx,Lozada Playground,04/30/2022 06:00:00 PM,,K.I.M,60,
Brooklyn,McCarren Park,07/12/2022 10:00:00 AM,,K.I.M,252,Detailed to Event
Bronx,Williamsbridge Oval Recreation Center,08/22/2023 04:00:00 PM,Flag Football,S.S.E,11,
Brooklyn,Russell Pedersen Playground,06/21/2023 10:00:00 AM,,K.I.M,,Called Out
Queens,Torsney Playground,09/03/2024 06:00:00 PM,,K.I.M,87,
Queens,Yellowstone Park,09/15/2022 12:26:00 PM,,K.I.M,0,Called Out
Manhattan,Samuel Seabury Playground,07/12/2023 06:00:00 PM,,K.I.M,114,
Bronx,Behagen Playground,07/23/2024 11:26:00 AM,,K.I.M,20,
Queens,Springfield Park,07/13/2022 06:00:00 PM,Various Sports,S.S.E,65,
Staten Island,DeMatti Park Fieldhouse,09/03/2024 10:00:00 AM,,K.I.M,100,
Queens,Bowne Park,06/28/2022 06:00:00 PM,,K.I.M,0,Called Out
Manhattan,Bloomingdale Playground,08/21/2024 05:15:00 PM,,K.I.M,81,
Brooklyn,Brownsville Recreation Center,08/13/2024 12:00:00 PM,Various Sports,S.S.E,65,
Bronx,Crotona Park,07/27/2022 06:00:00 PM,,K.I.M,42,
Brooklyn,Brower Park,07/19/2023 10:00:00 AM,,K.I.M,,Bad Weather
Queens,Queensbridge Park,07/28/2022 05:00:00 PM,,K.I.M,4,
Manhattan,Fort Tryon Park,06/28/2024 09:54:00 AM,,K.I.M,359,
Queens,Yellowstone Park,07/28/2022 12:18:00 PM,,K.I.M,20,
Manhattan,Seward Park,07/18/2023 06:00:00 PM,,K.I.M,300,
Bronx,Lozada Playground,04/29/2022 06:00:00 PM,,K.I.M,110,
Brooklyn,Brower Park,08/09/2022 10:00:00 AM,,K.I.M,0,Detailed to Event
Manhattan,Seward Park,09/05/2024 07:20:00 PM,,K.I.M,607,
Brooklyn,Calvert Vaux Park,08/05/2023 10:00:00 AM,,K.I.M,,Detailed to Event
Brooklyn,Sternberg Park,07/27/2024 10:00:00 AM,,K.I.M,102,
Staten Island,DeMatti Park Fieldhouse,09/21/2022 10:00:00 AM,,K.I.M,70,
Bronx,Devoe Park,07/13/2024 11:26:00 AM,,K.I.M,250,
Queens,Horace Harding Playground,10/07/2022 05:00:00 PM,Various Sports,S.S.E,35,
Bronx,Williamsbridge Oval Park,07/12/2024 03:00:00 PM,Tennis,S.S.E,10,
Manhattan,J. Hood Wright Park,05/12/2022 06:00:00 PM,,K.I.M,148,
Queens,Astoria Park,06/18/2022 06:00:00 PM,,K.I.M,58,
Brooklyn,Maria Hernandez Park,07/14/2022 08:58:00 AM,,K.I.M,150,
Manhattan,J. Hood Wright Park,08/05/2023 06:00:00 PM,,K.I.M,174,
Queens,Flushing Meadows Corona Park,07/15/2022 06:00:00 PM,,K.I.M,191,
Bronx,Captain Rivera Playground,06/15/2022 06:00:00 PM,,K.I.M,20,
Brooklyn,John J Carty Park,07/18/2022 09:00:00 AM,Various Sports,S.S.E,17,No Attendance
Queens,Bowne Park,06/22/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,Corona Golf Playground,07/27/2022 10:16:00 AM,,K.I.M,92,
Bronx,Soundview Park,07/26/2024 11:26:00 AM,,K.I.M,69,
Bronx,Poe Park,08/30/2023 10:00:00 AM,,K.I.M,102,
Staten Island,Schmul Park,05/11/2022 10:00:00 AM,Various Sports,S.S.E,15,
Staten Island,Fairview Park,06/11/2022 04:07:00 PM,Various Sports,S.S.E,121,
Brooklyn,Sternberg Park,05/24/2023 10:00:00 AM,,K.I.M,80,
Queens,Helen Marshall Playground,08/08/2023 06:00:00 PM,,K.I.M,0,Called Out
Bronx,Crotona Park,08/19/2022 10:00:00 AM,,K.I.M,0,Detailed to Event
Brooklyn,Sternberg Park,07/16/2024 10:00:00 AM,,K.I.M,15,
Queens,Rockaway Beach and Boardwalk,08/04/2023 06:00:00 PM,,K.I.M,12,
Brooklyn,William Sheridan Playground,08/08/2024 10:00:00 AM,,K.I.M,0,Bad Weather
Manhattan,Carmansville Playground,09/04/2024 04:36:00 PM,,K.I.M,43,
Queens,Park of the Americas,07/01/2023 06:00:00 PM,,K.I.M,0,
Brooklyn,Marion Hopkinson Playground,06/14/2023 10:00:00 AM,,K.I.M,30,
Queens,Bowne Playground,06/24/2022 06:00:00 PM,,K.I.M,0,Called Out
Brooklyn,Sternberg Park,06/15/2022 10:00:00 AM,,K.I.M,136,
Manhattan,Columbus Park,06/07/2024 09:50:00 AM,,K.I.M,223,
Queens,Grover Cleveland Playground,09/02/2023 06:00:00 PM,,K.I.M,75,
Queens,Grover Cleveland Playground,09/06/2023 06:00:00 PM,,K.I.M,80,
Manhattan,Seward Park,08/27/2022 06:00:00 PM,,K.I.M,350,
Manhattan,Columbus Park,07/14/2023 06:00:00 PM,,K.I.M,0,Bad Weather
Brooklyn,Brower Park,04/26/2024 10:00:00 AM,,K.I.M,15,
Brooklyn,Sternberg Park,08/10/2023 10:00:00 AM,,K.I.M,40,
Manhattan,Langston Hughes Playground,09/30/2023 06:00:00 PM,,K.I.M,0,Bad Weather
Manhattan,Bloomingdale Park,06/28/2022 06:00:00 PM,,K.I.M,725,
Manhattan,Tompkins Square Park,06/14/2022 06:00:00 PM,,K.I.M,102,
Manhattan,Seward Park,05/31/2022 06:00:00 PM,,K.I.M,75,
Queens,Bowne Park,06/06/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,Sol Lain Plgd,07/25/2024 09:53:00 AM,,K.I.M,35,
Bronx,Soundview Park,07/30/2024 11:26:00 AM,,K.I.M,62,
Bronx,Behagen Playground,07/09/2024 11:26:00 AM,,K.I.M,140,
Staten Island,Greencroft Playground,07/08/2023 10:00:00 AM,,K.I.M,60,
